top - 23:03:21 up 4 days, 11:45,  1 user,  load average: 4.99, 5.71, 4.71
Tasks: 552 total,   1 running, 551 sleeping,   0 stopped,   0 zombie
%Cpu(s): 45.2 us, 25.8 sy,  0.0 ni, 28.0 id,  0.0 wa,  0.0 hi,  1.1 si,  0.0 st
MiB Mem :  15677.3 total,    164.4 free,  11948.5 used,   3564.3 buff/cache
MiB Swap:   1024.0 total,      0.0 free,   1024.0 used.    812.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3237 vinaypa+  20   0  197916   3788   2168 S   0.0   0.0   0:00.90 ibus-x11
   3241 vinaypa+  20   0  236508   2012   1464 S   0.0   0.0   0:00.82 ibus-po+
   3250 vinaypa+  20   0  162844   1540   1236 S   0.0   0.0   0:14.60 at-spi2+
   3254 vinaypa+  20   0  235600    428    232 S   0.0   0.0   0:00.07 xdg-per+
   3256 vinaypa+  20   0  581040   1500    724 S   0.0   0.0   0:00.89 gnome-s+
   3265 vinaypa+  20   0 1070284   2784   1616 S   0.0   0.0   0:00.60 evoluti+
   3275 vinaypa+  20   0 1410992   3280   1984 S   0.0   0.0   0:01.62 evoluti+
   3280 vinaypa+  20   0  156584   2220   1464 S   0.0   0.0   0:00.32 dconf-s+
   3294 vinaypa+  20   0  786768   2088   1136 S   0.0   0.0   0:00.92 evoluti+
   3309 vinaypa+  20   0 2733728   7564   2628 S   0.0   0.0   0:04.72 gjs
   3317 vinaypa+  20   0  314100   1512    580 S   0.0   0.0   0:00.39 gvfsd-t+
   3327 vinaypa+  20   0  309724   1640   1364 S   0.0   0.0   0:00.31 gsd-a11+
   3328 vinaypa+  20   0  906116   6560   3416 S   0.0   0.0   0:03.30 gsd-col+
   3329 vinaypa+  20   0  373672   2280   2020 S   0.0   0.0   0:00.34 gsd-dat+
   3330 vinaypa+  20   0  311872   1644   1108 S   0.0   0.0   0:14.73 gsd-hou+
   3331 vinaypa+  20   0  346008   3816   2156 S   0.0   0.0   0:01.28 gsd-key+
   3333 vinaypa+  20   0  901332   4104   1520 S   0.0   0.0   0:04.78 gsd-med+
   3334 vinaypa+  20   0  760676   4932   1416 S   0.0   0.0   0:04.57 gsd-pow+
   3336 vinaypa+  20   0  248352   1724   1088 S   0.0   0.0   0:00.52 gsd-pri+
   3337 vinaypa+  20   0  457104   1400   1108 S   0.0   0.0   0:00.81 gsd-rfk+
   3340 vinaypa+  20   0  235512   1716   1436 S   0.0   0.0   0:00.46 gsd-scr+
   3341 vinaypa+  20   0  465104   3184   1424 S   0.0   0.0   0:36.31 gsd-sha+
   3342 vinaypa+  20   0  388956    284     84 S   0.0   0.0   0:00.37 gsd-sma+
   3345 vinaypa+  20   0  319420   1564   1328 S   0.0   0.0   0:00.33 gsd-sou+
   3351 vinaypa+  20   0  458756   2068   1648 S   0.0   0.0   0:00.47 gsd-usb+
   3352 vinaypa+  20   0  345404   4224   2204 S   0.0   0.0   0:01.33 gsd-wac+
   3354 vinaypa+  20   0  314156   1256   1008 S   0.0   0.0   0:00.33 gsd-wwan
   3356 vinaypa+  20   0  346688   5152   2172 S   0.0   0.0   0:01.76 gsd-xse+
   3408 vinaypa+  20   0  579204   2576   1568 S   0.0   0.0   0:09.75 anydesk
   3410 vinaypa+  20   0  162696   1968   1560 S   0.0   0.0   0:02.18 ibus-en+
   3421 vinaypa+  20   0  312748   1744   1524 S   0.0   0.0   0:00.09 indicat+
   3422 vinaypa+  20   0  645844   4700   2460 S   0.0   0.0   0:01.45 evoluti+
   3423 vinaypa+  20   0  231804   2664   1656 S   0.0   0.0   0:00.12 gsd-dis+
   3476 vinaypa+  20   0  342176   2580   2124 S   0.0   0.0   0:00.40 gsd-pri+
   3662 vinaypa+  20   0  162616   2144   1444 S   0.0   0.0   0:00.27 gvfsd-m+
   3719 vinaypa+  20   0  421424   6376   2356 S   0.0   0.0   0:06.59 update-+
   3774 vinaypa+  20   0  531160   1432   1092 S   0.0   0.0   0:00.97 xdg-doc+
   3848 vinaypa+  20   0  610232   3080   1752 S   0.0   0.0   0:05.72 xdg-des+
   3852 vinaypa+  20   0  493864   6564   3304 S   0.0   0.0   0:04.06 xdg-des+
   3892 vinaypa+  20   0   33.0g 248532  80152 S   0.0   1.5  41:16.25 chrome
   3898 vinaypa+  20   0    8228      0      0 S   0.0   0.0   0:00.00 cat
   3899 vinaypa+  20   0    8228      0      0 S   0.0   0.0   0:00.01 cat
   3901 vinaypa+  20   0   32.0g    860    724 S   0.0   0.0   0:00.08 chrome_+
